nome,estrelas,data_criacao,idade_anos,idade_dias,idade_total_dias,prs_merged,total_releases,dias_ultimo_push,linguagem_primaria,issues_total,issues_fechadas,razao_issues_fechadas
binhnguyennus/awesome-scalability,73371,2017-12-27T03:46:40Z,8,236,3156,37,0,226,N/A,0,0,0.00
CompVis/stable-diffusion,73304,2022-08-10T14:36:44Z,4,9,1469,5,0,791,Jupyter Notebook,740,200,27.03
strapi/strapi,72962,2015-09-30T15:34:48Z,10,325,3975,10372,540,0,TypeScript,12197,11942,97.91
danielmiessler/SecLists,72918,2012-02-19T01:30:18Z,14,184,5294,709,30,0,PHP,327,319,97.55
fffaraz/awesome-cpp,72820,2014-07-17T08:51:11Z,12,35,4415,883,0,14,N/A,593,360,60.71
Panniantong/Agent-Reach,72800,2026-02-24T02:10:24Z,0,175,175,172,7,6,Python,204,139,68.14
ComposioHQ/awesome-claude-skills,72748,2025-10-17T07:15:01Z,0,305,305,38,0,8,Python,143,11,7.69
microsoft/ai-agents-for-beginners,72559,2024-11-28T10:42:52Z,1,263,628,505,0,0,Jupyter Notebook,125,124,99.20
NationalSecurityAgency/ghidra,72498,2019-03-01T03:27:48Z,7,172,2727,583,55,0,Java,6126,4579,74.75
juliangarnier/anime,72226,2016-03-13T21:37:45Z,10,160,3810,87,37,1,JavaScript,849,752,88.57
hakimel/reveal.js,72145,2011-06-07T18:54:22Z,15,76,5551,415,51,89,JavaScript,2513,1710,68.05
pallets/flask,72140,2010-04-06T11:11:59Z,16,138,5978,1633,38,2,Python,2762,2762,100.00
chrislgarry/Apollo-11,72104,2014-04-03T15:45:02Z,12,140,4520,0,0,34,Assembly,0,0,0.00
OpenBB-finance/OpenBB,72008,2020-12-20T10:46:38Z,5,242,2067,4303,56,19,Python,2325,2274,97.81
moby/moby,71984,2013-01-18T18:10:57Z,13,215,4960,23037,308,0,Go,23589,20309,86.10
daytonaio/daytona,71969,2024-02-06T08:21:20Z,2,194,924,2505,205,25,N/A,1244,932,74.92
protocolbuffers/protobuf,71735,2014-08-26T15:52:15Z,11,360,4375,9740,218,0,C++,6898,6775,98.22
toeverything/AFFiNE,71656,2022-07-31T18:45:21Z,4,19,1479,9350,566,0,TypeScript,3997,3395,84.94
nektos/act,71542,2019-01-02T19:53:43Z,7,230,2785,1061,97,8,Go,1343,1082,80.57
Asabeneh/30-Days-Of-Python,71316,2019-11-19T17:24:16Z,6,274,2464,144,0,6,Python,178,90,50.56
binary-husky/gpt_academic,71199,2023-03-20T09:05:13Z,3,152,1247,228,32,205,Python,1784,1486,83.30
666ghj/MiroFish,71164,2025-11-26T04:23:02Z,0,265,265,27,3,1,Python,397,337,84.89
prakhar1989/awesome-courses,70506,2014-11-15T18:36:49Z,11,279,4294,194,0,1202,N/A,86,41,47.67
ansible/ansible,70341,2012-03-06T14:58:02Z,14,168,5278,40060,252,7,Python,33436,32913,98.44
swiftlang/swift,70256,2015-10-23T21:15:07Z,10,302,3952,60673,70,0,Swift,18139,10500,57.89
FoundationAgents/MetaGPT,69882,2023-06-30T09:04:55Z,3,50,1145,673,22,209,Python,974,958,98.36
expressjs/express,69381,2009-06-26T18:56:01Z,17,57,6262,550,165,17,JavaScript,4067,3961,97.39
base/node,68430,2023-02-01T13:55:02Z,3,199,1294,275,86,27,Shell,379,370,97.63
ruvnet/ruflo,68215,2025-06-02T21:24:20Z,1,77,442,565,1000,0,TypeScript,1628,1060,65.11
openinterpreter/openinterpreter,68059,2023-07-14T07:10:44Z,3,36,1131,435,64,0,Rust,1102,1100,99.82
code-yeongyu/oh-my-openagent,68040,2025-12-03T01:40:05Z,0,258,258,2629,235,0,TypeScript,2549,2087,81.88
chartjs/Chart.js,67641,2013-03-17T23:56:36Z,13,156,4901,3018,117,83,JavaScript,7318,6819,93.18
BurntSushi/ripgrep,67380,2016-03-11T02:02:33Z,10,162,3812,571,75,14,Rust,1820,1702,93.52
labmlai/annotated_deep_learning_paper_implementations,67310,2020-08-25T02:29:34Z,5,359,2184,104,0,208,Python,143,115,80.42
apache/echarts,67092,2013-04-03T03:18:59Z,13,140,4885,1524,125,14,TypeScript,19383,18017,92.95
gorhill/uBlock,67063,2015-04-01T17:51:11Z,11,142,4157,0,288,0,JavaScript,3446,3433,99.62
scikit-learn/scikit-learn,66971,2010-08-17T09:43:38Z,16,5,5845,14709,50,0,Python,12245,10703,87.41
colbymchenry/codegraph,66933,2026-01-18T21:45:37Z,0,212,212,458,30,10,C,644,480,74.53
headroomlabs-ai/headroom,66786,2026-01-07T19:58:51Z,0,223,223,1454,162,0,Python,927,684,73.79
bradtraversy/design-resources-for-developers,66687,2020-05-06T14:40:35Z,6,105,2295,978,0,86,N/A,0,0,0.00
xtekky/gpt4free,66558,2023-03-29T17:00:43Z,3,143,1238,911,503,5,Python,2047,2045,99.90
sindresorhus/awesome-nodejs,66554,2014-07-11T13:35:34Z,12,41,4421,421,0,107,N/A,105,102,97.14
leonardomso/33-js-concepts,66510,2018-09-04T13:27:04Z,7,350,2905,269,0,16,JavaScript,121,120,99.17
cline/cline,66424,2024-07-06T07:28:10Z,2,43,773,4442,373,0,TypeScript,4378,3722,85.02
TheAlgorithms/Java,66164,2016-07-16T10:21:02Z,10,35,3685,2391,0,1,Java,1249,1244,99.60
webpack/webpack,65968,2012-03-10T10:08:14Z,14,164,5274,6354,462,0,JavaScript,10228,10169,99.42
facebook/docusaurus,65959,2017-06-20T16:13:53Z,9,61,3346,5848,157,5,TypeScript,3468,3175,91.55
prometheus/prometheus,65744,2012-11-24T11:14:12Z,13,270,5015,8842,377,0,Go,6545,6036,92.22
LadybirdBrowser/ladybird,65722,2024-05-30T09:18:10Z,2,80,810,8031,0,0,C++,1952,1453,74.44
kelseyhightower/nocode,65640,2018-02-06T23:54:00Z,8,194,3114,1,1,741,Dockerfile,4965,737,14.84
dani-garcia/vaultwarden,65614,2018-02-17T22:40:20Z,8,184,3104,1165,85,5,Rust,2748,2730,99.34
alacritty/alacritty,65423,2016-02-18T05:02:30Z,10,184,3834,1937,108,1,Rust,6345,6016,94.81
microsoft/AI-For-Beginners,65415,2021-03-03T16:27:36Z,5,169,1994,312,0,28,Jupyter Notebook,197,185,93.91
Fission-AI/OpenSpec,65387,2025-08-05T10:37:45Z,1,13,378,560,44,1,TypeScript,597,490,82.08
santifer/career-ops,65326,2026-04-04T18:21:18Z,0,136,136,1082,35,0,JavaScript,1030,844,81.94
lydiahallie/javascript-questions,65317,2019-06-12T08:26:27Z,7,69,2624,327,0,744,N/A,253,233,92.09
kdn251/interviews,65213,2017-02-14T18:19:25Z,9,187,3472,42,0,463,Java,59,24,40.68
localstack/localstack,65146,2016-10-25T23:48:03Z,9,298,3583,6814,106,148,Python,6178,6178,100.00
docling-project/docling,65073,2024-07-09T07:50:26Z,2,40,770,1134,206,0,Python,1968,1072,54.47
Mintplex-Labs/anything-llm,64889,2023-06-04T02:29:14Z,3,76,1171,1565,34,0,JavaScript,3742,3448,92.14
gsd-build/get-shit-done,64677,2025-12-14T14:17:12Z,0,247,247,1202,78,79,JavaScript,1890,1890,100.00
shanraisshan/claude-code-best-practice,64674,2025-10-31T14:15:28Z,0,291,291,48,0,0,HTML,52,48,92.31
nocodb/nocodb,64583,2017-10-29T18:51:48Z,8,295,3215,6478,198,0,TypeScript,4751,4357,91.71
traefik/traefik,64485,2015-09-13T19:04:02Z,10,342,3992,5522,552,0,Go,6823,6133,89.89
warpdotdev/warp,64324,2021-07-08T18:48:08Z,5,42,1867,2153,56,0,Rust,10809,6981,64.59
ryanoasis/nerd-fonts,64292,2014-12-05T04:31:17Z,11,259,4274,610,39,8,CSS,1157,1142,98.70
keras-team/keras,64239,2015-03-28T00:35:42Z,11,146,4161,5204,93,0,Python,12872,12734,98.93
tw93/Mole,64118,2025-09-23T06:38:40Z,0,329,329,335,61,1,Shell,897,894,99.67
scrapy/scrapy,63941,2010-02-22T02:01:14Z,16,181,6021,2800,52,0,Python,3301,3025,91.64
rust-lang/rustlings,63895,2015-09-15T02:25:18Z,10,340,3990,952,46,7,Rust,770,746,96.88
mem0ai/mem0,63541,2023-06-20T08:58:36Z,3,60,1155,2512,381,0,Python,2100,1843,87.76
commaai/openpilot,63447,2016-11-24T01:33:30Z,9,269,3554,13293,63,0,Python,3300,3223,97.67
FFmpeg/FFmpeg,63428,2011-04-14T14:12:38Z,15,130,5605,0,0,0,C,0,0,0.00
tldr-pages/tldr,63422,2013-12-08T07:34:43Z,12,256,4636,19497,6,0,Markdown,1789,1558,87.09
ZhuLinsen/daily_stock_analysis,63293,2026-01-10T06:43:20Z,0,220,220,671,34,1,Python,816,778,95.34
socketio/socket.io,63190,2010-03-11T18:24:48Z,16,164,6004,450,98,25,TypeScript,3664,3500,95.52
asgeirtj/system_prompts_leaks,63130,2025-05-03T02:43:56Z,1,107,472,32,0,0,JavaScript,61,41,67.21
virattt/ai-hedge-fund,62946,2024-11-29T16:30:01Z,1,262,627,53,11,11,Python,279,227,81.36
resume/resume.github.com,62888,2011-02-06T13:39:55Z,15,197,5672,84,0,1280,JavaScript,131,67,51.15
NanmiCoder/MediaCrawler,62853,2023-06-09T12:14:34Z,3,71,1166,142,0,4,Python,626,466,74.44
jgraph/drawio-desktop,62672,2017-05-25T20:58:42Z,9,87,3372,42,187,4,JavaScript,1805,1797,99.56
git/git,62642,2008-07-23T14:21:26Z,18,30,6600,4,0,0,C,0,0,0.00
pathwaycom/pathway,62427,2022-11-27T13:01:14Z,3,265,1360,30,89,0,Python,171,142,83.04
usememos/memos,62337,2021-12-08T15:30:18Z,4,254,1714,2078,96,0,Go,3042,3016,99.15
topjohnwu/Magisk,62287,2016-09-08T12:42:53Z,9,346,3631,1723,156,0,Kotlin,6612,6562,99.24
youngyangyang04/leetcode-master,62205,2019-12-14T12:05:42Z,6,249,2439,2311,0,15,Shell,281,68,24.20
karpathy/nanoGPT,62192,2022-12-28T00:51:12Z,3,234,1329,45,0,279,Python,363,115,31.68
withastro/astro,61852,2021-03-15T17:19:47Z,5,157,1982,9199,1000,0,TypeScript,6542,6512,99.54
PlexPt/awesome-chatgpt-prompts-zh,61670,2022-12-12T01:55:03Z,3,250,1345,33,0,112,N/A,101,62,61.39
sansan0/TrendRadar,61565,2025-04-28T11:42:16Z,1,112,477,2,0,32,Python,496,460,92.74
reduxjs/redux,61509,2015-05-29T23:53:15Z,11,83,4098,1767,78,16,TypeScript,2076,2036,98.07
FuelLabs/sway,61499,2021-01-19T20:54:33Z,5,212,2037,3715,189,4,Rust,3316,2437,73.49
minio/minio,61388,2015-01-14T19:23:58Z,11,219,4234,9882,521,116,Go,7885,7841,99.44
lodash/lodash,61291,2012-04-07T04:11:46Z,14,136,5246,644,4,46,JavaScript,4362,4308,98.76
2dust/v2rayNG,61269,2019-05-15T02:15:31Z,7,97,2652,665,307,1,Kotlin,4069,4057,99.71
RVC-Boss/GPT-SoVITS,61020,2024-01-14T18:05:21Z,2,217,947,367,4,0,Python,2045,1256,61.42
Solido/awesome-flutter,60952,2017-05-07T11:45:27Z,9,105,3390,452,0,119,Dart,0,0,0.00
upstash/context7,60940,2025-03-26T23:40:39Z,1,144,509,481,105,0,TypeScript,2245,2227,99.20
h5bp/Front-end-Developer-Interview-Questions,60876,2012-02-09T23:34:10Z,14,193,5303,485,0,62,Nunjucks,185,143,77.30
1c7/chinese-independent-developer,60846,2017-09-21T11:08:23Z,8,333,3253,741,0,1,Python,360,359,99.72
xingshaocheng/architect-awesome,60838,2018-04-06T13:30:58Z,8,136,3056,49,0,859,N/A,71,23,32.39
ChrisTitusTech/winutil,60805,2022-04-28T02:25:19Z,4,113,1573,1455,45,0,PowerShell,2375,2352,99.03
tw93/Pake,60805,2022-10-14T09:32:57Z,3,309,1404,162,51,3,Rust,568,568,100.00
atom/atom,60778,2012-01-20T18:18:21Z,14,214,5324,3937,538,1323,JavaScript,17111,16149,94.38
nuxt/nuxt,60762,2016-10-26T11:18:47Z,9,298,3583,8306,291,0,TypeScript,17484,17118,97.91
ultralytics/ultralytics,60737,2022-09-11T16:39:45Z,3,342,1437,5428,449,0,Python,12890,12842,99.63
coollabsio/coolify,60728,2021-01-25T20:54:01Z,5,206,2031,2782,691,0,PHP,3960,3346,84.49
pocketbase/pocketbase,60724,2022-07-05T06:06:21Z,4,45,1505,55,284,0,Go,2037,2018,99.07
microsoft/autogen,60500,2023-08-18T11:43:45Z,3,1,1096,2537,98,125,Python,3077,2519,81.87
pi-hole/pi-hole,60447,2014-06-08T15:02:55Z,12,74,4454,2237,126,14,Shell,3147,3125,99.30
adam-p/markdown-here,60249,2012-05-13T03:27:22Z,14,100,5210,27,17,361,JavaScript,635,334,52.60
marktext/marktext,60245,2017-11-12T16:05:25Z,8,281,3201,1371,47,22,TypeScript,3438,2827,82.23
pbakaus/impeccable,60213,2025-11-16T01:52:04Z,0,275,275,272,45,0,JavaScript,233,188,80.69
sharkdp/bat,60207,2018-04-21T10:52:23Z,8,121,3041,1665,43,7,Rust,1629,1303,79.99
spring-projects/spring-framework,60201,2010-12-08T04:04:45Z,15,257,5732,941,363,0,Java,28344,27960,98.65
CorentinJ/Real-Time-Voice-Cloning,60091,2019-05-26T08:56:15Z,7,86,2641,51,0,162,Python,1122,953,84.94
ghostty-org/ghostty,59833,2022-03-29T17:38:26Z,4,143,1603,4480,1,0,Zig,2255,2110,93.57
jquery/jquery,59779,2009-04-03T15:20:14Z,17,141,6346,902,13,6,JavaScript,2393,2320,96.95
shadowsocks/shadowsocks-windows,59565,2013-01-14T07:54:16Z,13,219,4964,290,55,594,C#,2918,2729,93.52
meta-llama/llama,59562,2023-02-14T09:29:12Z,3,186,1281,54,0,569,Python,1127,654,58.03
starship/starship,59467,2019-04-02T03:23:12Z,7,140,2695,3204,141,1,Rust,2711,1909,70.42
FiloSottile/mkcert,59464,2018-06-25T05:33:03Z,8,56,2976,53,14,735,Go,359,242,67.41
termux/termux-app,59408,2015-10-23T09:42:46Z,10,302,3952,178,95,35,Java,3151,2654,84.23
rclone/rclone,59248,2014-03-16T16:19:57Z,12,158,4538,2490,131,0,Go,6175,5198,84.18
byoungd/up,59232,2017-05-30T07:18:52Z,9,82,3367,31,0,1,JavaScript,132,102,77.27
pathwaycom/llm-app,59012,2023-07-19T08:43:37Z,3,31,1126,50,0,44,Jupyter Notebook,20,15,75.00
meilisearch/meilisearch,59008,2018-04-23T11:45:28Z,8,119,3039,2532,330,4,Rust,2473,2230,90.17
rust-unofficial/awesome-rust,58891,2014-07-17T10:45:10Z,12,35,4415,1919,0,0,Rust,150,143,95.33
penpot/penpot,58845,2015-12-29T22:09:07Z,10,235,3885,6924,85,0,Clojure,3129,2466,78.81
rails/rails,58694,2008-04-11T02:19:47Z,18,133,6703,26855,168,0,Ruby,18654,18167,97.39
mvanhorn/last30days-skill,58623,2026-01-23T20:37:37Z,0,207,207,466,41,0,Python,244,158,64.75
tiimgreen/github-cheat-sheet,58589,2014-04-12T16:38:42Z,12,131,4511,129,0,855,N/A,77,49,63.64
pmndrs/zustand,58583,2019-04-09T09:10:06Z,7,133,2688,927,105,0,TypeScript,698,696,99.71
angular/angular.js,58536,2010-01-06T00:34:37Z,16,228,6068,790,0,858,JavaScript,9033,8644,95.69
MemPalace/mempalace,58441,2026-04-05T01:12:07Z,0,135,135,608,15,2,Python,788,461,58.50
FoundationAgents/OpenManus,58008,2025-03-06T14:08:14Z,1,165,530,116,3,2,Python,754,472,62.60
ultralytics/yolov5,57899,2020-05-18T03:45:11Z,6,93,2283,2320,10,2,Python,9443,9413,99.68
h5bp/html5-boilerplate,57592,2010-01-24T18:03:24Z,16,210,6050,846,34,7,JavaScript,1366,1359,99.49
scutan90/DeepLearning-500-questions,57535,2018-06-27T06:36:45Z,8,54,2974,302,0,783,JavaScript,192,81,42.19
go-gitea/gitea,57478,2016-11-01T02:13:26Z,9,292,3577,19728,235,0,Go,15958,13610,85.29
deepfakes/faceswap,57469,2017-12-19T09:44:13Z,8,244,3164,370,5,13,Python,909,899,98.90
zylon-ai/private-gpt,57447,2023-05-02T09:15:31Z,3,109,1204,306,14,0,Python,1242,1241,99.92
karpathy/nanochat,57291,2025-10-13T13:46:35Z,0,309,309,84,0,16,Python,139,117,84.17
crewAIInc/crewAI,57269,2023-10-27T03:26:59Z,2,296,1026,2115,230,0,Python,2125,2013,94.73
wasabeef/awesome-android-ui,57239,2014-12-24T01:45:03Z,11,240,4255,91,0,74,N/A,117,95,81.20
Textualize/rich,57083,2019-11-10T15:28:09Z,6,283,2473,869,177,56,Python,1526,1289,84.47
appwrite/appwrite,57047,2019-04-08T16:36:25Z,7,134,2689,5243,132,0,TypeScript,4469,3950,88.39
FuelLabs/fuel-core,56900,2020-08-27T21:12:14Z,5,357,2182,1657,130,0,Rust,1161,999,86.05
soimort/you-get,56870,2012-08-20T15:53:36Z,14,1,5111,582,123,24,Python,0,0,0.00
remotion-dev/remotion,56727,2020-06-23T19:49:10Z,6,57,2247,6072,672,0,TypeScript,3688,3506,95.07
BerriAI/litellm,56672,2023-07-27T00:09:52Z,3,23,1118,14418,1000,0,Python,12178,10500,86.22
ageitgey/face_recognition,56664,2017-03-03T21:52:39Z,9,170,3455,95,2,54,Python,1379,604,43.80
remix-run/react-router,56556,2014-05-16T22:22:51Z,12,97,4477,3644,344,0,TypeScript,8391,8292,98.82
golang-standards/project-layout,56472,2017-09-09T16:33:26Z,8,345,3265,98,0,112,Makefile,116,44,37.93
makeplane/plane,56100,2022-11-19T12:55:01Z,3,273,1368,6446,62,1,TypeScript,1905,1116,58.58
Zie619/n8n-workflows,56099,2025-05-14T08:43:59Z,1,96,461,34,1,55,Python,105,80,76.19
laurent22/joplin,55999,2017-01-16T21:49:41Z,9,216,3501,5987,417,0,TypeScript,8233,7616,92.51
gatsbyjs/gatsby,55943,2015-05-21T22:43:05Z,11,92,4107,18302,158,3,JavaScript,14127,13910,98.46
jellyfin/jellyfin,55921,2018-12-09T06:36:45Z,7,254,2809,5625,112,0,C#,8688,8312,95.67
azl397985856/leetcode,55761,2018-03-30T09:13:51Z,8,143,3063,257,40,398,JavaScript,257,248,96.50
Raphire/Win11Debloat,55666,2020-10-27T22:26:59Z,5,296,2121,130,37,2,PowerShell,388,356,91.75
firstcontributions/first-contributions,55546,2016-09-20T14:35:09Z,9,334,3619,103316,0,0,N/A,1501,1484,98.87
typst/typst,55510,2019-09-24T21:41:56Z,6,330,2520,2495,30,1,Rust,4491,3282,73.08
FlowiseAI/Flowise,55378,2023-03-31T12:23:09Z,3,141,1236,1820,85,5,TypeScript,2674,1973,73.78
AntonOsika/gpt-engineer,55135,2023-04-29T12:52:15Z,3,112,1207,351,21,461,Python,503,471,93.64
twentyhq/twenty,55101,2022-12-01T13:04:40Z,3,261,1356,14014,102,0,TypeScript,6837,6724,98.35
usestrix/strix,55039,2025-08-05T21:28:30Z,1,13,378,360,26,0,Python,313,188,60.06
PowerShell/PowerShell,54976,2016-01-13T23:41:35Z,10,219,3869,8462,214,0,C#,13556,12269,90.51
romkatv/powerlevel10k,54931,2019-02-24T19:09:45Z,7,177,2732,170,33,3,Shell,2620,2492,95.11
ngosang/trackerslist,54903,2016-04-24T11:57:57Z,10,118,3768,1,0,0,N/A,539,528,97.96
jingyaogong/minimind,54810,2024-07-27T04:34:12Z,2,22,752,12,2,12,Python,634,608,95.90
TryGhost/Ghost,54795,2013-05-04T11:09:13Z,13,109,4854,18401,999,0,JavaScript,7326,7297,99.60
facebookresearch/segment-anything,54700,2023-03-23T17:03:03Z,3,149,1244,16,0,699,Jupyter Notebook,718,182,25.35
WerWolv/ImHex,54493,2020-11-10T14:27:00Z,5,282,2107,782,82,0,C++,1643,1291,78.58
wagoodman/dive,54472,2018-05-13T15:44:01Z,8,99,3019,164,28,246,Go,375,206,54.93
lencx/ChatGPT,54449,2022-12-07T09:43:02Z,3,255,1350,123,34,719,Rust,1280,372,29.06
maybe-finance/maybe,54321,2024-01-01T22:23:46Z,2,230,960,1073,28,390,Ruby,0,0,0.00
psf/requests,54242,2011-02-13T18:38:17Z,15,190,5665,1697,19,1,Python,4173,4025,96.45
vuejs/core,54213,2018-06-12T13:49:36Z,8,69,2989,4063,292,0,TypeScript,6082,5525,90.84
ElemeFE/element,54057,2016-09-03T06:19:26Z,9,351,3636,3228,145,728,Vue,17891,15246,85.22
odoo/odoo,53786,2014-05-13T15:38:58Z,12,100,4480,6183,0,0,Python,19117,15358,80.34
google/material-design-icons,53777,2014-10-08T18:01:28Z,11,317,4332,50,16,4,N/A,1596,1186,74.31
mozilla/pdf.js,53751,2011-04-26T06:32:03Z,15,118,5593,9223,88,0,JavaScript,10564,10198,96.54
agalwood/Motrix,53628,2018-12-18T11:45:05Z,7,245,2800,235,28,0,TypeScript,1380,607,43.99
necolas/normalize.css,53520,2011-05-04T10:20:25Z,15,110,5585,56,0,797,CSS,518,471,90.93
freqtrade/freqtrade,53414,2017-05-17T23:48:53Z,9,94,3379,6694,116,0,Python,5653,5631,99.61
JetBrains/kotlin,53354,2012-02-13T17:29:58Z,14,190,5300,3562,300,0,Kotlin,0,0,0.00
chinese-poetry/chinese-poetry,53161,2016-09-02T03:32:25Z,9,352,3637,138,1,62,JavaScript,217,92,42.40
vsouza/awesome-ios,53101,2014-07-10T16:03:45Z,12,42,4422,2256,0,55,Swift,497,494,99.40
ggml-org/whisper.cpp,53009,2022-09-25T18:26:37Z,3,328,1423,1023,38,0,C++,1963,895,45.59
aaif-goose/goose,52963,2024-08-23T19:03:36Z,1,360,725,5873,146,0,Rust,2782,2617,94.07
dockur/windows,52889,2024-01-14T13:09:40Z,2,217,947,907,126,0,Shell,1034,1016,98.26
microsoft/VibeVoice,52879,2025-08-25T13:24:01Z,0,358,358,41,0,25,Python,243,118,48.56
lyswhut/lx-music-desktop,52877,2019-08-14T14:31:08Z,7,6,2561,101,113,14,TypeScript,2526,1306,51.70
sickcodes/Docker-OSX,52866,2020-06-04T11:01:37Z,6,76,2266,109,0,280,Shell,686,289,42.13
ionic-team/ionic-framework,52618,2013-08-20T23:06:02Z,13,0,4745,6787,948,0,TypeScript,22190,21607,97.37
hesreallyhim/awesome-claude-code,52571,2025-04-19T20:55:59Z,1,121,486,221,0,0,Python,2016,1134,56.25
jesseduffield/lazydocker,52528,2019-05-18T08:53:50Z,7,94,2649,195,47,121,Go,413,216,52.30
lllyasviel/Fooocus,52397,2023-08-09T18:43:40Z,3,10,1105,448,21,260,Python,1668,1421,85.19
prettier/prettier,52204,2016-11-29T17:13:37Z,9,264,3549,10230,144,0,JavaScript,7323,6158,84.09
xai-org/grok-1,52156,2024-03-17T08:53:38Z,2,154,884,5,0,718,Python,0,0,0.00
etcd-io/etcd,52123,2013-07-06T21:57:21Z,13,46,4791,10616,292,0,Go,7247,7130,98.39
VoltAgent/awesome-openclaw-skills,52038,2026-01-25T09:22:32Z,0,205,205,149,0,1,N/A,84,84,100.00
bmad-code-org/BMAD-METHOD,52030,2025-04-13T14:54:25Z,1,127,492,841,39,0,JavaScript,1075,975,90.70
google/guava,51883,2014-05-29T16:23:17Z,12,84,4464,1439,60,0,Java,3668,3051,83.18
anthropics/claude-cookbooks,51803,2023-08-15T20:23:51Z,3,4,1099,198,0,4,Jupyter Notebook,215,138,64.19
dkhamsing/open-source-ios-apps,51741,2015-01-26T23:32:34Z,11,206,4221,1713,37,0,N/A,357,357,100.00
run-llama/llama_index,51733,2022-11-02T04:24:54Z,3,290,1385,7944,432,0,Python,7251,7079,97.63
expo/expo,51679,2016-08-15T17:14:25Z,10,5,3655,23841,0,0,TypeScript,19270,18985,98.52
Avik-Jain/100-Days-Of-ML-Code,51647,2018-07-05T09:11:43Z,8,46,2966,6,0,963,N/A,0,0,0.00
jekyll/jekyll,51637,2008-10-20T06:29:03Z,17,306,6511,3205,112,15,Ruby,4939,4809,97.37
dbeaver/dbeaver,51469,2015-10-21T08:26:28Z,10,304,3954,7350,254,0,Java,20504,17279,84.27
charlax/professional-programming,51430,2015-11-07T05:07:52Z,10,287,3937,44,0,34,Python,33,32,96.97
poteto/hiring-without-whiteboards,51385,2017-03-15T05:09:01Z,9,158,3443,1335,0,73,JavaScript,0,0,0.00
DefinitelyTyped/DefinitelyTyped,51376,2012-10-05T16:39:45Z,13,320,5065,53487,1,0,TypeScript,8118,7561,93.14
ethereum/go-ethereum,51295,2013-12-26T13:05:46Z,12,238,4618,9277,232,0,Go,8716,8520,97.75
justjavac/wechat-miniapp-radar,51181,2016-09-22T20:04:48Z,9,332,3617,313,0,11,TypeScript,35,35,100.00
Semantic-Org/Semantic-UI,51025,2013-04-08T23:32:04Z,13,134,4879,356,154,629,JavaScript,6233,5269,84.53
cypress-io/cypress,50980,2015-03-04T00:46:28Z,11,170,4185,8856,402,0,TypeScript,15561,14550,93.50
jamiepine/voicebox,50780,2026-01-25T12:27:03Z,0,205,205,147,25,9,TypeScript,682,191,28.01
CherryHQ/cherry-studio,50732,2024-05-24T01:56:26Z,2,86,816,4895,276,0,TypeScript,11112,10238,92.13
diegosouzapw/OmniRoute,50451,2026-02-13T12:38:31Z,0,186,186,5491,278,0,TypeScript,3542,3244,91.59
bannedbook/fanqiang,50395,2015-01-14T00:34:25Z,11,219,4234,3,3,6,Kotlin,836,502,60.05
nlohmann/json,50395,2013-07-04T08:47:49Z,13,48,4793,1156,45,0,C++,2408,2373,98.55
mastodon/mastodon,50217,2016-02-22T15:01:25Z,10,180,3830,20637,360,0,Ruby,13099,8778,67.01
TanStack/query,50157,2019-09-10T19:23:58Z,6,344,2534,3819,1000,0,TypeScript,2348,2288,97.44
skylot/jadx,50121,2013-03-18T17:08:21Z,13,156,4901,652,35,13,Java,2118,1690,79.79
serhii-londar/open-source-mac-os-apps,50077,2017-11-03T02:35:33Z,8,290,3210,615,0,124,N/A,234,211,90.17
AlistGo/alist,50056,2020-12-23T17:40:29Z,5,239,2064,974,149,13,Go,4496,3974,88.39
jgthms/bulma,50053,2016-01-23T23:48:34Z,10,209,3859,646,22,170,CSS,2753,2404,87.32
chenglou/pretext,49930,2026-03-07T21:06:28Z,0,164,164,7,0,56,TypeScript,96,50,52.08
tldraw/tldraw,49841,2021-05-09T11:48:37Z,5,102,1927,5475,134,0,TypeScript,2667,2293,85.98
huginn/huginn,49821,2013-03-10T06:00:31Z,13,164,4909,1179,1,3,Ruby,2193,1580,72.05
NARKOZ/hacker-scripts,49802,2015-11-21T19:05:09Z,10,273,3923,63,0,1030,JavaScript,106,68,64.15
Lordog/dive-into-llms,49666,2024-04-08T13:11:40Z,2,132,862,11,1,312,Jupyter Notebook,26,17,65.38
jakevdp/PythonDataScienceHandbook,49635,2016-08-10T14:24:36Z,10,10,3660,28,0,783,Jupyter Notebook,210,84,40.00
pandas-dev/pandas,49513,2010-08-24T01:37:33Z,15,363,5838,29411,122,0,Python,28479,25867,90.83
roboflow/supervision,49506,2022-11-28T14:08:44Z,3,264,1359,1377,40,1,Python,543,503,92.63
kelseyhightower/kubernetes-the-hard-way,49495,2016-07-07T14:15:27Z,10,44,3694,73,0,495,N/A,440,416,94.55
hashicorp/terraform,49478,2014-03-13T22:25:48Z,12,161,4541,13641,435,0,Go,21747,19990,91.92
ChromeDevTools/chrome-devtools-mcp,49366,2025-09-11T10:39:55Z,0,341,341,1136,58,0,TypeScript,505,429,84.95
ClickHouse/ClickHouse,49318,2016-06-02T08:28:18Z,10,79,3729,69097,825,0,C++,30385,25407,83.62
astral-sh/ruff,49240,2022-08-09T17:17:44Z,4,10,1470,16000,423,0,Rust,8242,6554,79.52
Homebrew/brew,49201,2016-03-06T05:08:38Z,10,167,3817,15225,509,0,Ruby,5271,5271,100.00
x64dbg/x64dbg,49191,2015-04-11T20:48:23Z,11,132,4147,825,6,3,C++,2721,2150,79.02
